Property post code,Sales Count,Average Price,Median Price,Min Price,Max Price
2025,6115,96776645.0,1000000.0,1.0,580000000000.0
2027,7542,2766140.0,1126000.0,1.0,620951555.0
2030,8116,2723917.0,1315000.0,1.0,555000000.0
2023,7145,2466225.0,1065000.0,1392.0,105000000.0
2028,4248,2288913.0,1200000.0,1.0,155000000.0
2029,7510,1731945.0,915000.0,1.0,45000000.0
2024,7324,1532943.0,693750.0,1.0,44000000.0
2021,12671,1359349.0,788000.0,1.0,99000000.0
2026,22816,1347274.0,680000.0,1.0,395234740.0
2022,10613,1315268.0,740000.0,1.0,167000000.0
2034,11848,1187798.0,675000.0,1.0,395234740.0
2033,6750,1159833.0,585000.0,1.0,91300000.0
2032,6756,1124089.0,525000.0,1.0,543194135.0
2031,20463,1106558.0,619000.0,1.0,770000000.0
2035,17441,995369.0,607000.0,1.0,244880000.0
