Property locality,Sales Count,Average Price,Median Price,Min Price,Max Price
Woollahra,6154,96155244.0,980000.0,0.0,580000000000.0
Point Piper,1061,5942816.0,2656000.0,0.0,130000000.0
Watsons Bay,422,3215940.0,1485000.0,0.0,84409379.0
Vaucluse,5792,2781559.0,1200000.0,0.0,555000000.0
Tamarama,973,2510842.0,1210000.0,0.0,45000000.0
Bellevue Hill,7172,2461004.0,1060000.0,0.0,105000000.0
South Coogee,1261,2418830.0,1495000.0,0.0,395234740.0
Darling Point,3946,2373940.0,1339330.0,0.0,156000000.0
Dover Heights,2029,2270636.0,1500000.0,0.0,20780000.0
Double Bay,4456,2219112.0,1150000.0,0.0,155000000.0
Bronte,3393,2197139.0,1100000.0,0.0,44000000.0
Edgecliff,2526,2011689.0,650000.0,0.0,620951555.0
North Bondi,4309,1783740.0,1100000.0,0.0,395234740.0
Rose Bay,7604,1707183.0,900000.0,0.0,45000000.0
Queens Park,1502,1577325.0,1205000.0,0.0,9550000.0
Clovelly,2554,1559228.0,925000.0,0.0,24500000.0
Bondi Beach,7309,1511038.0,765150.0,0.0,135000000.0
Noth Bondi,1,1450000.0,1450000.0,1450000.0,1450000.0
Paddington,11090,1390160.0,840000.0,0.0,99000000.0
Bondi Junction,9276,1250577.0,666834.0,0.0,167000000.0
Nyngan,4,1202470.0,1360000.0,612625.0,1477255.0
Kensington,6813,1148781.0,580000.0,0.0,91300000.0
Pagewood,1572,1126780.0,793000.0,0.0,72430000.0
Kingsford,6735,1103565.0,510000.0,0.0,543194135.0
Neutral Bay,1,1100000.0,1100000.0,1100000.0,1100000.0
Centennial Park,1625,1080415.0,460000.0,0.0,26500000.0
Daceyville,154,1051046.0,765000.0,0.0,3675000.0
Coogee,10733,1027183.0,617000.0,0.0,395234740.0
Randwick,18213,1024796.0,575000.0,0.0,770000000.0
Maroubra,16058,969230.0,584000.0,0.0,244880000.0
Waverley,4006,933367.0,505000.0,0.0,20000000.0
Rose Bay North,37,910446.0,716500.0,272000.0,4200000.0
Bondi,10634,899105.0,490000.0,0.0,42000000.0
Bondi Juction,1,885000.0,885000.0,885000.0,885000.0
Ultimo,2,785000.0,785000.0,785000.0,785000.0
Lurline Bay,2,772500.0,772500.0,615000.0,930000.0
Moore Park,52,664154.0,602000.0,0.0,2200000.0
Nth Bondi,2,661250.0,661250.0,620000.0,702500.0
Maroubra Nsw,4,641250.0,615000.0,565000.0,770000.0
"King Street Wharf, Sydney",1,593800.0,593800.0,593800.0,593800.0
Coogie,1,575000.0,575000.0,575000.0,575000.0
Tamarama Bay,1,550000.0,550000.0,550000.0,550000.0
Burwood,1,536000.0,536000.0,536000.0,536000.0
Charing Cross,22,522318.0,372500.0,0.0,1370000.0
Coogee Nsw,1,425000.0,425000.0,425000.0,425000.0
Marouba,1,410000.0,410000.0,410000.0,410000.0
Maroubra Junction,46,382442.0,302500.0,60000.0,1445550.0
Newington,1,365000.0,365000.0,365000.0,365000.0
Griffith,1,315000.0,315000.0,315000.0,315000.0
Malabar,2,301000.0,301000.0,240000.0,362000.0
Rushcutters Bay,1,250000.0,250000.0,250000.0,250000.0
Hillsdale,2,248500.0,248500.0,206000.0,291000.0
Surry Hills,15,223933.0,183500.0,101000.0,845000.0
Beverly Hills,1,212000.0,212000.0,212000.0,212000.0
Matraville,5,120200.0,0.0,0.0,360000.0
Rosebery,4,87500.0,92500.0,0.0,165000.0
